MARCA;CADENA;INICIO;FINAL;SKU;PRECIO - % PROMOCION
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA CERO JENGIBRE LATA 355ML;1890
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA CERO ORIGINAL LATA 355ML;1890
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA CERO TE VERDE LATA 355ML;1890
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA ENERGIA MAQUI LATA 355ML;1890
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA ENERGIA MATE LATA 355ML;1890
KOMBUCHACHA;LIDER;2026-04-09;2026-07-22;KOMBUCHACHA FRAMBUESA LATA 355ML;1890
SUK;LIDER;2026-04-09;2026-07-22;DISPLAY SUK 6U;
CALLAQUI;CENCOSUD;2026-05-26;2026-07-27;QUESO CABRA SUAVE LAM CALLAQUI 200G;
NAT NATURAL;CENCOSUD;2026-05-26;2026-07-27;NAT CRANBERRY NUEZ 160;
NAT NATURAL;CENCOSUD;2026-05-26;2026-07-27;NAT CRANBERRY NUEZ 80;
NAT NATURAL;CENCOSUD;2026-05-26;2026-07-27;NAT DATIL ALMENDRA 160;
NAT NATURAL;CENCOSUD;2026-05-26;2026-07-27;NAT PISTACHO ROMERO 160;
CALLAQUI;TOTTUS;2026-07-07;2026-07-27;Queso cabra suave 200;
CALLAQUI;TOTTUS;2026-07-07;2026-07-27;Queso cabra suave oregano 200;
CUK;TOTTUS;2026-07-07;2026-07-27;SUSPIRO FRAMBUESA CUK 1.3 KG;$17.990
CUK;TOTTUS;2026-07-07;2026-07-27;SUSPIRO LIMEÑO CONGELADO CUK 1.3 KG;$17.990
CUK;TOTTUS;2026-07-07;2026-07-27;SUSPIRO MANJAR CONGELADO CUK 1.3 KG;$17.990
GLOBAL RETAIL;TOTTUS;2026-07-07;2026-07-27;PLANCHADO FACIL 550 CC;$1.890
GLOBAL RETAIL;TOTTUS;2026-07-07;2026-07-27;DETERGENTE MATIC AGUACOL 4 5 LTS AZUL;$4.990
GLOBAL RETAIL;TOTTUS;2026-07-07;2026-07-27;DETERGENTE MATIC AGUACOL 4 5 LTS VERDE;$4.990
SUK;TOTTUS;2026-07-07;2026-07-27;DISPLAY SUK 10U;
SUK;TOTTUS;2026-07-07;2026-07-27;DISPLAY SUK 26U;
SUK;TOTTUS;2026-07-07;2026-07-27;POSTRE CHOCO DUBAI SUK 590 GRS;
ALUSWEET;UNIMARC;2026-06-24;2026-09-22;ENDULZANTE CON ALULOSA ALUSWEET 270 ML;
ALUSWEET;UNIMARC;2026-06-24;2026-09-22;ENDULZANTE CON STEVIA ALUSWEET 270 ML;
CALLAQUI;UNIMARC;2026-06-08;2026-09-22;QUESO CABRA SUAVE CALLAQUI 200GR;
CALLAQUI;UNIMARC;2026-06-08;2026-09-22;QUESO CABRA UNTAR CALLAQUI 1, CIBOULETTE;
DUSOLEIL;UNIMARC;2026-06-24;2026-09-22;MASA PASCUALINA 460 GR;
LA FERMENTISTA;UNIMARC;2026-07-02;2026-07-15;RAICES NOBLES MINI 400G;15%
LA FERMENTISTA;UNIMARC;2026-07-02;2026-07-15;CLASICO PURPURA MINI 400G;10% DESCUENTO
LA FERMENTISTA;UNIMARC;2026-07-02;2026-07-15;KIMCHI LA FERMENTISTA 400GR;10% DESCUENTO
LA FERMENTISTA;UNIMARC;2026-07-02;2026-07-15;VERDES VIVOS MINI 400G;10% DESCUENTO
NAT NATURAL;UNIMARC;2026-06-24;2026-09-22;NAT CRANBERRY NUEZ 160;$4050
NAT NATURAL;UNIMARC;2026-06-24;2026-09-22;NAT DATIL ALMENDRA 160;$4050
NAT NATURAL;UNIMARC;2026-06-24;2026-09-22;NAT PISTACHO ROMERO 160;$4050
DUSOLEIL;WALMART EXPRESS;2026-05-27;2026-08-18;MASA PASCUALINA;
DUSOLEIL;WALMART EXPRESS;2026-04-22;2026-07-22;FETUCCINI ESPINACA S/GLUTEN 400G;
DUSOLEIL;WALMART EXPRESS;2026-04-22;2026-07-22;MASA GALLETA AVENA;
DUSOLEIL;WALMART EXPRESS;2026-04-22;2026-07-22;MASA GALLETA MANTEQUILLA;
